external_id,name,phone,email,created_at
cust_ext_1,Клиент 1,+79990000001,user_1@example.com,2026-02-01 05:15:32.424133+00:00
cust_ext_2,Клиент 2,+79990000002,user_2@example.com,2026-01-28 20:32:45.458396+00:00
cust_ext_3,Клиент 3,+79990000003,user_3@example.com,2026-01-26 03:12:46.651164+00:00
cust_ext_4,Клиент 4,+79990000004,user_4@example.com,2026-01-30 00:41:13.105693+00:00
cust_ext_5,Клиент 5,+79990000005,user_5@example.com,2026-01-21 10:03:25.643238+00:00
cust_ext_6,Клиент 6,+79990000006,user_6@example.com,2026-02-08 11:03:35.438776+00:00
cust_ext_7,Клиент 7,+79990000007,user_7@example.com,2026-02-09 11:36:46.482189+00:00
cust_ext_8,Клиент 8,+79990000008,user_8@example.com,2026-02-14 16:17:06.736976+00:00
cust_ext_9,Клиент 9,+79990000009,user_9@example.com,2026-02-13 00:50:38.020925+00:00
cust_ext_10,Клиент 10,+79990000010,user_10@example.com,2026-01-29 10:02:24.147544+00:00
cust_ext_11,Клиент 11,+79990000011,user_11@example.com,2026-01-02 05:33:05.411538+00:00
cust_ext_12,Клиент 12,+79990000012,user_12@example.com,2026-02-06 12:28:06.341219+00:00
cust_ext_13,Клиент 13,+79990000013,user_13@example.com,2026-01-22 11:27:32.625953+00:00
cust_ext_14,Клиент 14,+79990000014,user_14@example.com,2026-01-04 09:40:15.544264+00:00
cust_ext_15,Клиент 15,+79990000015,user_15@example.com,2026-01-27 07:02:36.406453+00:00
cust_ext_16,Клиент 16,+79990000016,user_16@example.com,2026-01-24 21:15:27.277303+00:00
cust_ext_17,Клиент 17,+79990000017,user_17@example.com,2026-01-03 09:29:50.762294+00:00
cust_ext_18,Клиент 18,+79990000018,user_18@example.com,2026-02-02 15:12:31.787546+00:00
cust_ext_19,Клиент 19,+79990000019,user_19@example.com,2026-01-23 10:59:35.344829+00:00
cust_ext_20,Клиент 20,+79990000020,user_20@example.com,2026-01-05 21:57:09.060647+00:00
cust_ext_21,Клиент 21,+79990000021,user_21@example.com,2026-01-28 21:50:07.440106+00:00
cust_ext_22,Клиент 22,+79990000022,user_22@example.com,2026-02-04 03:38:30.091706+00:00
cust_ext_23,Клиент 23,+79990000023,user_23@example.com,2026-01-13 14:12:29.961386+00:00
cust_ext_24,Клиент 24,+79990000024,user_24@example.com,2026-02-09 01:29:25.491099+00:00
cust_ext_25,Клиент 25,+79990000025,user_25@example.com,2026-01-19 06:06:05.292731+00:00
cust_ext_26,Клиент 26,+79990000026,user_26@example.com,2026-02-14 18:23:55.216644+00:00
cust_ext_27,Клиент 27,+79990000027,user_27@example.com,2026-01-01 04:51:06.076615+00:00
cust_ext_28,Клиент 28,+79990000028,user_28@example.com,2026-01-22 16:20:39.677372+00:00
cust_ext_29,Клиент 29,+79990000029,user_29@example.com,2026-01-02 04:35:56.047893+00:00
cust_ext_30,Клиент 30,+79990000030,user_30@example.com,2026-01-21 21:00:08.319340+00:00
cust_ext_31,Клиент 31,+79990000031,user_31@example.com,2026-01-02 00:57:38.162991+00:00
cust_ext_32,Клиент 32,+79990000032,user_32@example.com,2026-01-22 18:42:06.364850+00:00
cust_ext_33,Клиент 33,+79990000033,user_33@example.com,2026-02-11 08:03:43.960247+00:00
cust_ext_34,Клиент 34,+79990000034,user_34@example.com,2026-01-03 06:07:37.546746+00:00
cust_ext_35,Клиент 35,+79990000035,user_35@example.com,2026-01-16 02:08:10.752352+00:00
cust_ext_36,Клиент 36,+79990000036,user_36@example.com,2026-01-15 19:11:45.281572+00:00
cust_ext_37,Клиент 37,+79990000037,user_37@example.com,2026-01-13 05:29:34.967115+00:00
cust_ext_38,Клиент 38,+79990000038,user_38@example.com,2026-01-26 10:22:03.703814+00:00
cust_ext_39,Клиент 39,+79990000039,user_39@example.com,2026-02-01 22:43:21.311343+00:00
cust_ext_40,Клиент 40,+79990000040,user_40@example.com,2026-01-10 18:10:12.896843+00:00
cust_ext_41,Клиент 41,+79990000041,user_41@example.com,2026-01-09 08:34:08.957954+00:00
cust_ext_42,Клиент 42,+79990000042,user_42@example.com,2026-02-07 05:44:41.715814+00:00
cust_ext_43,Клиент 43,+79990000043,user_43@example.com,2026-01-30 04:50:47.235288+00:00
cust_ext_44,Клиент 44,+79990000044,user_44@example.com,2026-01-17 20:32:15.380602+00:00
cust_ext_45,Клиент 45,+79990000045,user_45@example.com,2026-01-18 13:46:37.875207+00:00
cust_ext_46,Клиент 46,+79990000046,user_46@example.com,2026-01-27 05:48:23.821880+00:00
cust_ext_47,Клиент 47,+79990000047,user_47@example.com,2026-01-01 17:24:48.430699+00:00
cust_ext_48,Клиент 48,+79990000048,user_48@example.com,2026-01-31 07:08:09.565630+00:00
cust_ext_49,Клиент 49,+79990000049,user_49@example.com,2026-01-07 10:36:19.616948+00:00
cust_ext_50,Клиент 50,+79990000050,user_50@example.com,2026-02-02 17:15:34.863766+00:00
cust_ext_51,Клиент 51,+79990000051,user_51@example.com,2026-02-04 18:08:13.343718+00:00
cust_ext_52,Клиент 52,+79990000052,user_52@example.com,2026-01-22 12:03:24.583233+00:00
cust_ext_53,Клиент 53,+79990000053,user_53@example.com,2026-01-30 07:04:29.835855+00:00
cust_ext_54,Клиент 54,+79990000054,user_54@example.com,2026-01-27 16:02:10.930265+00:00
cust_ext_55,Клиент 55,+79990000055,user_55@example.com,2026-01-29 02:54:28.752077+00:00
cust_ext_56,Клиент 56,+79990000056,user_56@example.com,2026-02-09 09:55:43.946201+00:00
cust_ext_57,Клиент 57,+79990000057,user_57@example.com,2026-01-11 22:48:25.724327+00:00
cust_ext_58,Клиент 58,+79990000058,user_58@example.com,2026-02-02 11:16:51.829061+00:00
cust_ext_59,Клиент 59,+79990000059,user_59@example.com,2026-02-11 16:42:30.921497+00:00
cust_ext_60,Клиент 60,+79990000060,user_60@example.com,2026-01-07 16:07:36.879973+00:00
cust_ext_61,Клиент 61,+79990000061,user_61@example.com,2026-02-10 11:03:42.173762+00:00
cust_ext_62,Клиент 62,+79990000062,user_62@example.com,2026-01-12 20:24:35.280009+00:00
cust_ext_63,Клиент 63,+79990000063,user_63@example.com,2026-01-13 11:28:24.044147+00:00
cust_ext_64,Клиент 64,+79990000064,user_64@example.com,2026-01-03 07:20:50.870678+00:00
cust_ext_65,Клиент 65,+79990000065,user_65@example.com,2026-01-24 20:20:38.979978+00:00
cust_ext_66,Клиент 66,+79990000066,user_66@example.com,2026-01-30 10:47:01.189192+00:00
cust_ext_67,Клиент 67,+79990000067,user_67@example.com,2026-01-07 20:23:50.624108+00:00
cust_ext_68,Клиент 68,+79990000068,user_68@example.com,2026-01-06 21:57:52.381124+00:00
cust_ext_69,Клиент 69,+79990000069,user_69@example.com,2026-02-03 19:44:02.951773+00:00
cust_ext_70,Клиент 70,+79990000070,user_70@example.com,2026-02-04 22:44:52.779500+00:00
cust_ext_71,Клиент 71,+79990000071,user_71@example.com,2026-01-28 14:13:57.398735+00:00
cust_ext_72,Клиент 72,+79990000072,user_72@example.com,2026-01-05 05:07:58.428269+00:00
cust_ext_73,Клиент 73,+79990000073,user_73@example.com,2026-02-06 13:40:31.182904+00:00
cust_ext_74,Клиент 74,+79990000074,user_74@example.com,2026-01-24 21:18:44.231601+00:00
cust_ext_75,Клиент 75,+79990000075,user_75@example.com,2026-01-03 11:12:54.962176+00:00
cust_ext_76,Клиент 76,+79990000076,user_76@example.com,2026-01-01 21:12:50.430799+00:00
cust_ext_77,Клиент 77,+79990000077,user_77@example.com,2026-01-11 14:51:17.820113+00:00
cust_ext_78,Клиент 78,+79990000078,user_78@example.com,2026-01-15 11:47:48.112828+00:00
cust_ext_79,Клиент 79,+79990000079,user_79@example.com,2026-01-03 14:44:09.840656+00:00
cust_ext_80,Клиент 80,+79990000080,user_80@example.com,2026-02-08 01:22:32.464836+00:00
cust_ext_81,Клиент 81,+79990000081,user_81@example.com,2026-01-31 18:08:04.879946+00:00
cust_ext_82,Клиент 82,+79990000082,user_82@example.com,2026-01-22 05:08:33.508408+00:00
cust_ext_83,Клиент 83,+79990000083,user_83@example.com,2026-01-15 23:42:41.140419+00:00
cust_ext_84,Клиент 84,+79990000084,user_84@example.com,2026-01-29 12:04:53.132858+00:00
cust_ext_85,Клиент 85,+79990000085,user_85@example.com,2026-01-29 22:26:49.921370+00:00
cust_ext_86,Клиент 86,+79990000086,user_86@example.com,2026-01-15 07:12:07.564368+00:00
cust_ext_87,Клиент 87,+79990000087,user_87@example.com,2026-01-19 06:46:34.197201+00:00
cust_ext_88,Клиент 88,+79990000088,user_88@example.com,2026-01-27 17:43:40.694951+00:00
cust_ext_89,Клиент 89,+79990000089,user_89@example.com,2026-01-17 11:19:52.295086+00:00
cust_ext_90,Клиент 90,+79990000090,user_90@example.com,2026-01-02 14:08:17.148556+00:00
cust_ext_91,Клиент 91,+79990000091,user_91@example.com,2026-01-25 05:47:46.801156+00:00
cust_ext_92,Клиент 92,+79990000092,user_92@example.com,2026-01-05 19:47:39.878976+00:00
cust_ext_93,Клиент 93,+79990000093,user_93@example.com,2026-01-24 09:11:11.470748+00:00
cust_ext_94,Клиент 94,+79990000094,user_94@example.com,2026-01-30 05:52:01.214253+00:00
cust_ext_95,Клиент 95,+79990000095,user_95@example.com,2026-01-11 17:57:28.292857+00:00
cust_ext_96,Клиент 96,+79990000096,user_96@example.com,2026-01-17 17:45:15.051513+00:00
cust_ext_97,Клиент 97,+79990000097,user_97@example.com,2026-01-18 15:41:37.307704+00:00
cust_ext_98,Клиент 98,+79990000098,user_98@example.com,2026-01-04 13:35:33.247071+00:00
cust_ext_99,Клиент 99,+79990000099,user_99@example.com,2026-01-27 01:51:25.180864+00:00
cust_ext_100,Клиент 100,+79990000100,user_100@example.com,2026-02-01 15:55:30.677931+00:00
cust_ext_101,Клиент 101,+79990000101,user_101@example.com,2026-02-14 09:05:41.957799+00:00
cust_ext_102,Клиент 102,+79990000102,user_102@example.com,2026-01-10 07:51:29.138764+00:00
cust_ext_103,Клиент 103,+79990000103,user_103@example.com,2026-02-11 20:29:31.052738+00:00
cust_ext_104,Клиент 104,+79990000104,user_104@example.com,2026-01-12 00:11:00.718783+00:00
cust_ext_105,Клиент 105,+79990000105,user_105@example.com,2026-01-20 03:28:05.240997+00:00
cust_ext_106,Клиент 106,+79990000106,user_106@example.com,2026-02-07 06:16:25.857251+00:00
cust_ext_107,Клиент 107,+79990000107,user_107@example.com,2026-01-19 12:12:55.352655+00:00
cust_ext_108,Клиент 108,+79990000108,user_108@example.com,2026-01-03 15:14:45.197980+00:00
cust_ext_109,Клиент 109,+79990000109,user_109@example.com,2026-01-22 01:56:59.453510+00:00
cust_ext_110,Клиент 110,+79990000110,user_110@example.com,2026-02-02 20:21:10.968266+00:00
cust_ext_111,Клиент 111,+79990000111,user_111@example.com,2026-02-05 11:49:21.933219+00:00
cust_ext_112,Клиент 112,+79990000112,user_112@example.com,2026-01-22 20:22:52.120142+00:00
cust_ext_113,Клиент 113,+79990000113,user_113@example.com,2026-02-08 02:40:58.898909+00:00
cust_ext_114,Клиент 114,+79990000114,user_114@example.com,2026-02-11 21:42:19.660416+00:00
cust_ext_115,Клиент 115,+79990000115,user_115@example.com,2026-02-12 08:09:28.662536+00:00
cust_ext_116,Клиент 116,+79990000116,user_116@example.com,2026-01-09 21:17:13.261461+00:00
cust_ext_117,Клиент 117,+79990000117,user_117@example.com,2026-01-16 16:28:59.626744+00:00
cust_ext_118,Клиент 118,+79990000118,user_118@example.com,2026-01-16 18:55:05.820565+00:00
cust_ext_119,Клиент 119,+79990000119,user_119@example.com,2026-02-08 18:29:16.157980+00:00
cust_ext_120,Клиент 120,+79990000120,user_120@example.com,2026-01-29 05:58:32.205615+00:00
cust_ext_121,Клиент 121,+79990000121,user_121@example.com,2026-01-01 15:21:24.493872+00:00
cust_ext_122,Клиент 122,+79990000122,user_122@example.com,2026-02-11 01:57:18.608613+00:00
cust_ext_123,Клиент 123,+79990000123,user_123@example.com,2026-02-08 02:00:26.128706+00:00
cust_ext_124,Клиент 124,+79990000124,user_124@example.com,2026-01-20 04:43:01.209651+00:00
cust_ext_125,Клиент 125,+79990000125,user_125@example.com,2026-01-02 21:53:03.536013+00:00
cust_ext_126,Клиент 126,+79990000126,user_126@example.com,2026-02-09 21:25:40.381631+00:00
cust_ext_127,Клиент 127,+79990000127,user_127@example.com,2026-01-22 20:27:07.165031+00:00
cust_ext_128,Клиент 128,+79990000128,user_128@example.com,2026-01-20 20:14:16.057665+00:00
cust_ext_129,Клиент 129,+79990000129,user_129@example.com,2026-01-26 18:21:51.795413+00:00
cust_ext_130,Клиент 130,+79990000130,user_130@example.com,2026-01-31 16:30:06.056106+00:00
cust_ext_131,Клиент 131,+79990000131,user_131@example.com,2026-01-07 09:51:49.475244+00:00
cust_ext_132,Клиент 132,+79990000132,user_132@example.com,2026-01-28 01:13:56.898782+00:00
cust_ext_133,Клиент 133,+79990000133,user_133@example.com,2026-01-16 17:32:23.739688+00:00
cust_ext_134,Клиент 134,+79990000134,user_134@example.com,2026-02-02 18:37:49.916314+00:00
cust_ext_135,Клиент 135,+79990000135,user_135@example.com,2026-02-02 10:27:32.737139+00:00
cust_ext_136,Клиент 136,+79990000136,user_136@example.com,2026-01-01 15:19:06.108146+00:00
