external_id,name,phone,vehicle_number,created_at
drv_ext_1,Водитель 1,+79110000001,X0001XX66,2026-01-20 09:53:57.150660+00:00
drv_ext_2,Водитель 2,+79110000002,X0002XX66,2026-01-29 01:15:59.333480+00:00
drv_ext_3,Водитель 3,+79110000003,X0003XX66,2026-01-25 08:07:50.828261+00:00
drv_ext_4,Водитель 4,+79110000004,X0004XX66,2026-01-13 18:05:48.814283+00:00
drv_ext_5,Водитель 5,+79110000005,X0005XX66,2026-01-26 10:04:59.955897+00:00
drv_ext_6,Водитель 6,+79110000006,X0006XX66,2026-01-19 10:08:49.704357+00:00
drv_ext_7,Водитель 7,+79110000007,X0007XX66,2026-01-10 20:08:59.896809+00:00
drv_ext_8,Водитель 8,+79110000008,X0008XX66,2026-01-05 22:12:29.344796+00:00
drv_ext_9,Водитель 9,+79110000009,X0009XX66,2026-01-01 04:49:42.086006+00:00
drv_ext_10,Водитель 10,+79110000010,X0010XX66,2026-01-09 10:27:37.265727+00:00
drv_ext_11,Водитель 11,+79110000011,X0011XX66,2026-01-30 23:09:31.948188+00:00
drv_ext_12,Водитель 12,+79110000012,X0012XX66,2026-01-12 06:36:20.841840+00:00
drv_ext_13,Водитель 13,+79110000013,X0013XX66,2026-01-15 02:47:39.637808+00:00
drv_ext_14,Водитель 14,+79110000014,X0014XX66,2026-01-26 08:09:57.433226+00:00
drv_ext_15,Водитель 15,+79110000015,X0015XX66,2026-01-15 19:33:38.411956+00:00
drv_ext_16,Водитель 16,+79110000016,X0016XX66,2026-01-25 23:21:33.112889+00:00
drv_ext_17,Водитель 17,+79110000017,X0017XX66,2026-01-03 21:30:46.643990+00:00
drv_ext_18,Водитель 18,+79110000018,X0018XX66,2026-01-16 10:32:53.616440+00:00
drv_ext_19,Водитель 19,+79110000019,X0019XX66,2026-01-22 13:58:28.730998+00:00
drv_ext_20,Водитель 20,+79110000020,X0020XX66,2026-01-18 14:13:24.836199+00:00
drv_ext_21,Водитель 21,+79110000021,X0021XX66,2026-01-03 14:53:52.534365+00:00
drv_ext_22,Водитель 22,+79110000022,X0022XX66,2026-01-09 10:57:06.520305+00:00
drv_ext_23,Водитель 23,+79110000023,X0023XX66,2026-01-14 04:00:59.036851+00:00
drv_ext_24,Водитель 24,+79110000024,X0024XX66,2026-01-17 15:12:42.790634+00:00
drv_ext_25,Водитель 25,+79110000025,X0025XX66,2026-01-03 19:22:53.615473+00:00
